millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
86919,NO_FIX,NO_FIX,0.00,0.0,0.3861,0.8501,0.3322
87419,NO_FIX,NO_FIX,0.00,0.0,0.3915,0.8576,0.3200
87919,NO_FIX,NO_FIX,0.00,0.0,0.3998,0.8505,0.3161
88419,NO_FIX,NO_FIX,0.00,0.0,0.3915,0.8532,0.3231
88919,NO_FIX,NO_FIX,0.00,0.0,0.3929,0.8559,0.3195
89419,NO_FIX,NO_FIX,0.00,0.0,0.3963,0.8508,0.3204
89919,NO_FIX,NO_FIX,0.00,0.0,0.3898,0.8488,0.3134
90419,NO_FIX,NO_FIX,0.00,0.0,0.3998,0.8469,0.3246
90919,NO_FIX,NO_FIX,0.00,0.0,0.3900,0.8530,0.3224
91419,NO_FIX,NO_FIX,0.00,0.0,0.3900,0.8537,0.3200
91919,NO_FIX,NO_FIX,0.00,0.0,0.3871,0.8586,0.3214
92419,NO_FIX,NO_FIX,0.00,0.0,0.3954,0.8522,0.3234
92919,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8510,0.3214
93419,NO_FIX,NO_FIX,0.00,0.0,0.3942,0.8520,0.3224
93919,NO_FIX,NO_FIX,0.00,0.0,0.3932,0.8537,0.3114
94419,NO_FIX,NO_FIX,0.00,0.0,0.3927,0.8544,0.3219
94919,NO_FIX,NO_FIX,0.00,0.0,0.3922,0.8535,0.3185
95419,NO_FIX,NO_FIX,0.00,0.0,0.3949,0.8496,0.3224
95919,NO_FIX,NO_FIX,0.00,0.0,0.3902,0.8537,0.3222
96419,NO_FIX,NO_FIX,0.00,0.0,0.3888,0.8591,0.3202
96919,NO_FIX,NO_FIX,0.00,0.0,0.3993,0.8520,0.3156
97419,NO_FIX,NO_FIX,0.00,0.0,0.4054,0.8591,0.3197
97919,NO_FIX,NO_FIX,0.00,0.0,0.3988,0.8564,0.3185
98419,NO_FIX,NO_FIX,0.00,0.0,0.3956,0.8513,0.3241
98919,NO_FIX,NO_FIX,0.00,0.0,0.4144,0.8300,0.3024
99419,NO_FIX,NO_FIX,0.00,0.0,0.3951,0.8459,0.3244
99919,NO_FIX,NO_FIX,0.00,0.0,0.3871,0.8491,0.3253
100419,NO_FIX,NO_FIX,0.00,0.0,0.3946,0.8459,0.3214
100919,NO_FIX,NO_FIX,0.00,0.0,0.3973,0.8532,0.3178
101419,NO_FIX,NO_FIX,0.00,0.0,0.3890,0.8635,0.3173
101919,NO_FIX,NO_FIX,0.00,0.0,0.3951,0.8544,0.3253
102419,NO_FIX,NO_FIX,0.00,0.0,0.4112,0.8579,0.3287
102919,NO_FIX,NO_FIX,0.00,0.0,0.3893,0.8317,0.3058
103419,NO_FIX,NO_FIX,0.00,0.0,0.3942,0.8547,0.3180
103919,NO_FIX,NO_FIX,0.00,0.0,0.4007,0.8559,0.3187
104419,NO_FIX,NO_FIX,0.00,0.0,0.3915,0.8566,0.3183
104919,NO_FIX,NO_FIX,0.00,0.0,0.3932,0.8508,0.3224
105419,NO_FIX,NO_FIX,0.00,0.0,0.3873,0.8491,0.3195
105919,NO_FIX,NO_FIX,0.00,0.0,0.3922,0.8527,0.3212
106419,NO_FIX,NO_FIX,0.00,0.0,0.3915,0.8532,0.3178
106919,NO_FIX,NO_FIX,0.00,0.0,0.3951,0.8562,0.3224
107419,NO_FIX,NO_FIX,0.00,0.0,0.3900,0.8501,0.3222
107919,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8520,0.3231
108419,NO_FIX,NO_FIX,0.00,0.0,0.3912,0.8583,0.3285
108919,NO_FIX,NO_FIX,0.00,0.0,0.3917,0.8510,0.3231
109419,NO_FIX,NO_FIX,0.00,0.0,0.3895,0.8662,0.3239
109919,NO_FIX,NO_FIX,0.00,0.0,0.3993,0.8515,0.3156
110419,NO_FIX,NO_FIX,0.00,0.0,0.3922,0.8505,0.3212
110919,NO_FIX,NO_FIX,0.00,0.0,0.3934,0.8479,0.3124
111419,NO_FIX,NO_FIX,0.00,0.0,0.3937,0.8559,0.3185
111919,NO_FIX,NO_FIX,0.00,0.0,0.3932,0.8542,0.3192
112419,NO_FIX,NO_FIX,0.00,0.0,0.3861,0.8569,0.3222
112919,NO_FIX,NO_FIX,0.00,0.0,0.4017,0.8454,0.3185
113419,NO_FIX,NO_FIX,0.00,0.0,0.4015,0.8476,0.3192
113919,NO_FIX,NO_FIX,0.00,0.0,0.3946,0.8442,0.3229
114419,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8501,0.3158
114919,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8562,0.3209
