timestamp,latitude,longitude,speed,heading
2040018,39.797824,-86.234926,13.18,179.1
2040519,39.797824,-86.234926,13.18,179.1
2041019,39.797767,-86.234925,14.38,179.1
2041521,39.797767,-86.234925,14.38,179.1
2042021,39.797705,-86.234924,15.96,179.4
2042506,39.797705,-86.234924,15.96,179.4
2043006,39.797636,-86.234922,17.54,179.6
2043509,39.797636,-86.234922,17.54,179.6
2044009,39.797561,-86.234922,19.10,179.9
2044510,39.797561,-86.234922,19.10,179.9
2045010,39.797480,-86.234922,20.59,179.8
2045513,39.797480,-86.234922,20.59,179.8
2046013,39.797396,-86.234921,20.67,179.5
2046514,39.797396,-86.234921,20.67,179.5
2047015,39.797313,-86.234919,20.63,179.2
2047517,39.797313,-86.234919,20.63,179.2
2048017,39.797230,-86.234917,20.45,179.4
2048519,39.797230,-86.234917,20.45,179.4
2049019,39.797148,-86.234915,20.40,179.1
2049521,39.797148,-86.234915,20.40,179.1
2050021,39.797066,-86.234914,20.17,179.5
2050505,39.797066,-86.234914,20.17,179.5
2051006,39.796985,-86.234913,20.09,179.4
2051507,39.796985,-86.234913,20.09,179.4
2052008,39.796905,-86.234912,20.00,179.4
2052510,39.796905,-86.234912,20.00,179.4
2053011,39.796824,-86.234911,19.89,179.3
2053512,39.796824,-86.234911,19.89,179.3
2054013,39.796745,-86.234909,19.78,179.1
2054514,39.796745,-86.234909,19.78,179.1
2055015,39.796666,-86.234908,19.64,179.2
2055517,39.796666,-86.234908,19.64,179.2
2056018,39.796587,-86.234906,19.54,179.1
2056519,39.796587,-86.234906,19.54,179.1
2057019,39.796509,-86.234905,19.33,179.3
2057521,39.796509,-86.234905,19.33,179.3
2058021,39.796431,-86.234904,19.20,179.5
2058506,39.796431,-86.234904,19.20,179.5
2059006,39.796354,-86.234903,19.10,179.5
2059509,39.796354,-86.234903,19.10,179.5
2060009,39.796278,-86.234902,19.00,179.6
2060510,39.796278,-86.234902,19.00,179.6
2061010,39.796201,-86.234901,18.88,179.6
2061513,39.796201,-86.234901,18.88,179.6
2062013,39.796125,-86.234901,18.82,179.8
