millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
4260504,39.795868,-86.238710,12.84,359.2,0.0779,0.2353,0.5706
4261004,39.795868,-86.238710,12.84,359.2,0.0876,0.5272,1.7850
4261504,39.795920,-86.238711,12.72,358.9,0.0500,0.5555,1.2764
4262004,39.795920,-86.238711,12.72,358.9,0.2096,0.1425,0.6992
4262504,39.795972,-86.238712,12.64,359.4,0.1403,0.3095,1.0228
4263004,39.795972,-86.238712,12.64,359.4,-0.0059,0.0888,0.0312
4263504,39.796022,-86.238712,12.51,359.5,-0.0542,0.4901,1.1742
4264004,39.796022,-86.238712,12.51,359.5,0.0020,0.4952,1.5097
4264504,39.796073,-86.238711,12.43,359.6,0.0024,0.3412,0.8625
4265004,39.796073,-86.238711,12.43,359.6,-0.2136,0.3019,1.4875
4265504,39.796123,-86.238711,12.60,359.6,0.2946,0.1852,0.6050
4266004,39.796123,-86.238711,12.60,359.6,0.0129,0.2685,1.4390
4266504,39.796178,-86.238713,13.95,359.1,0.3756,-0.6433,0.1804
4267004,39.796178,-86.238713,13.95,359.1,0.3497,0.1591,0.8520
4267504,39.796239,-86.238715,15.43,358.4,0.1972,0.3419,1.4600
4268004,39.796239,-86.238715,15.43,358.4,0.1008,0.1755,1.1232
4268504,39.796306,-86.238718,16.94,358.2,0.0447,0.0735,0.7885
4269004,39.796306,-86.238718,16.94,358.2,0.1396,0.0769,0.1616
4269504,39.796378,-86.238721,18.41,358.6,-0.3202,0.4017,0.3810
4270004,39.796378,-86.238721,18.41,358.6,-1.1595,0.6245,1.8790
4270504,39.796457,-86.238724,19.90,358.5,-0.4644,0.6470,1.3984
4271004,39.796457,-86.238724,19.90,358.5,0.0598,0.3946,1.1839
4271504,39.796539,-86.238726,20.82,358.4,-0.1203,0.4630,1.6044
4272004,39.796539,-86.238726,20.82,358.4,0.0774,0.2558,0.8293
4272504,39.796623,-86.238730,20.60,358.3,0.0815,0.3300,1.1085
4273004,39.796623,-86.238730,20.60,358.3,-0.2780,0.5052,1.5539
4273504,39.796705,-86.238732,20.32,358.2,-0.1303,0.4537,0.8847
4274004,39.796705,-86.238732,20.32,358.2,0.0964,-0.0344,0.0452
4274504,39.796786,-86.238735,20.21,358.6,-0.1813,0.7324,1.7411
4275004,39.796786,-86.238735,20.21,358.6,-0.0876,0.4273,1.0687
4275504,39.796867,-86.238738,20.13,358.5,0.5821,0.2184,1.6222
4276004,39.796867,-86.238738,20.13,358.5,1.6222,-0.2841,1.0926
4276504,39.796948,-86.238741,20.04,358.1,-0.0398,0.3234,1.1678
4277004,39.796948,-86.238741,20.04,358.1,0.0613,0.4359,0.4491
4277504,39.797029,-86.238745,19.83,357.6,-0.1096,0.3348,1.1232
4278004,39.797029,-86.238745,19.83,357.6,0.1430,0.3837,0.3392
4278504,39.797107,-86.238747,19.69,359.2,-0.1596,0.0713,0.2658
4279004,39.797107,-86.238747,19.69,359.2,0.1943,0.1203,0.5899
4279504,39.797187,-86.238749,19.70,359.5,0.1896,0.1420,0.4786
4280004,39.797187,-86.238749,19.70,359.5,0.1618,0.2865,1.7680
4280504,39.797264,-86.238749,19.16,1.1,0.3868,0.0261,0.8908
4281004,39.797264,-86.238749,19.16,1.1,-0.1774,0.3510,0.4176
4281504,39.797338,-86.238748,18.98,0.3,0.3573,0.5630,1.6066
4282004,39.797338,-86.238748,18.98,0.3,0.1799,0.0937,0.3175
4282504,39.797415,-86.238748,18.86,0.2,0.6743,0.0923,0.5181
4283004,39.797415,-86.238748,18.86,0.2,0.0508,0.4242,0.4857
4283504,39.797489,-86.238750,18.59,359.9,0.2094,0.5406,1.2230
4284004,39.797489,-86.238750,18.59,359.9,0.1184,0.3278,0.4920
4284504,39.797563,-86.238751,18.57,359.6,0.2846,0.2912,0.8249
4285004,39.797563,-86.238751,18.57,359.6,0.0949,0.2497,0.7590
4285504,39.797635,-86.238751,18.38,0.9,-0.1950,0.7288,2.1994
4286004,39.797635,-86.238751,18.38,0.9,0.1225,0.2372,0.4571
4286504,39.797709,-86.238750,18.16,0.3,0.3024,0.1201,0.9272
4287004,39.797709,-86.238750,18.16,0.3,0.3036,0.1452,1.1910
4287504,39.797781,-86.238750,18.21,359.7,0.5089,0.0439,0.4593
4288004,39.797781,-86.238750,18.21,359.7,0.1015,0.4242,1.2059
4288504,39.797854,-86.238750,18.10,359.6,0.5201,0.0940,0.7837
4289004,39.797854,-86.238750,18.10,359.6,-0.5484,0.2538,0.7144
4289504,39.797925,-86.238750,17.88,0.1,0.1474,0.6311,1.3904
4290004,39.797925,-86.238750,17.88,0.1,0.3085,0.3634,1.1551
4290504,39.797996,-86.238747,17.69,0.2,0.1228,0.2404,1.0917
4291004,39.797996,-86.238747,17.69,0.2,-0.1381,0.3829,1.2796
4291504,39.798068,-86.238746,17.72,0.1,-0.0286,0.5101,1.1881
4292004,39.798068,-86.238746,17.72,0.1,0.4247,0.2638,0.8581
4292504,39.798139,-86.238745,17.61,0.5,0.2660,0.3551,1.1432
4293004,39.798139,-86.238745,17.61,0.5,0.7715,0.2016,1.8373
4293504,39.798209,-86.238744,17.49,0.6,0.2370,0.2604,1.1710
4294004,39.798209,-86.238744,17.49,0.6,0.4898,0.2682,0.4991
4294504,39.798279,-86.238742,17.15,1.4,-0.3136,0.5835,2.2234
4295004,39.798279,-86.238742,17.15,1.4,0.0649,0.3151,0.5264
4295504,39.798348,-86.238740,17.11,1.2,0.2197,0.2999,0.7956
4296004,39.798348,-86.238740,17.11,1.2,-0.0300,0.1818,0.7026
4296504,39.798418,-86.238739,17.10,1.2,-0.6001,0.8542,1.6384
4297004,39.798418,-86.238739,17.10,1.2,0.2751,0.1584,0.7790
4297504,39.798487,-86.238737,16.96,1.3,0.1215,-0.1403,0.0627
4298004,39.798487,-86.238737,16.96,1.3,1.0143,-0.1774,1.1029
4298504,39.798556,-86.238737,16.86,1.5,-0.1911,0.1547,0.8942
4299004,39.798556,-86.238737,16.86,1.5,0.3656,-0.0493,0.9174
4299504,39.798624,-86.238734,16.70,1.7,0.0203,0.2987,0.2826
4300004,39.798624,-86.238734,16.70,1.7,0.5172,-0.2126,0.2831
4300504,39.798691,-86.238732,16.55,1.9,0.0515,0.3988,0.7851
4301004,39.798691,-86.238732,16.55,1.9,0.1845,0.0085,0.4364
4301504,39.798758,-86.238730,16.43,2.0,0.6809,0.2175,1.2901
4302004,39.798758,-86.238730,16.43,2.0,0.1413,0.2394,0.7346
4302504,39.798824,-86.238726,16.36,2.3,0.2870,0.2370,0.6863
4303004,39.798824,-86.238726,16.36,2.3,-0.0115,0.1643,0.4915
4303504,39.798891,-86.238723,16.27,2.5,0.3180,0.3705,1.0741
4304004,39.798891,-86.238723,16.27,2.5,0.6719,0.1045,0.5938
4304504,39.798957,-86.238719,16.27,2.8,0.3080,0.6555,1.4402
4305004,39.798957,-86.238719,16.27,2.8,0.0893,-0.0544,0.4608
4305504,39.799023,-86.238715,16.17,3.2,0.4244,0.3961,1.0346
4306004,39.799023,-86.238715,16.17,3.2,-0.1123,0.3578,0.7341
4306504,39.799089,-86.238711,16.11,3.4,0.2504,0.5213,1.2669
4307004,39.799089,-86.238711,16.11,3.4,0.4281,0.1306,1.0248
4307504,39.799155,-86.238706,16.04,4.2,-0.2292,0.2699,0.9040
4308004,39.799155,-86.238706,16.04,4.2,0.2384,0.2299,0.6431
4308504,39.799220,-86.238701,15.95,5.0,-0.0508,0.2277,0.7468
4309004,39.799220,-86.238701,15.95,5.0,0.5694,0.3636,1.6154
4309504,39.799284,-86.238694,15.89,6.0,-0.1447,0.3422,1.0768
4310004,39.799284,-86.238694,15.89,6.0,0.2062,0.1381,0.6953
4310504,39.799348,-86.238686,15.80,7.5,0.4073,0.0361,0.4371
4311004,39.799348,-86.238686,15.80,7.5,0.1611,0.1418,0.3422
4311504,39.799412,-86.238674,15.73,9.2,-0.1970,0.6031,1.7672
4312004,39.799412,-86.238674,15.73,9.2,-0.0574,0.4330,1.3726
4312504,39.799475,-86.238656,15.74,13.9,0.0039,-0.0981,0.5359
4313004,39.799475,-86.238656,15.74,13.9,-0.4688,0.6489,0.9850
4313504,39.799537,-86.238631,15.78,20.2,0.5438,0.4466,0.9970
4314004,39.799537,-86.238631,15.78,20.2,-0.0124,0.2394,0.1057
4314504,39.799596,-86.238596,15.69,26.8,-0.0991,0.0124,0.9355
4315004,39.799596,-86.238596,15.69,26.8,0.1003,0.6568,1.0385
4315504,39.799650,-86.238553,15.69,35.0,-0.0337,0.2853,0.9594
4316004,39.799650,-86.238553,15.69,35.0,0.9816,-0.1159,0.8549
4316504,39.799699,-86.238501,15.50,42.0,-0.4098,0.3034,0.9787
4317004,39.799699,-86.238501,15.50,42.0,0.2956,-0.0359,1.2032
4317504,39.799742,-86.238443,15.37,49.5,-0.3695,0.5093,1.1185
4318004,39.799742,-86.238443,15.37,49.5,-0.0037,0.0071,0.8457
4318504,39.799777,-86.238378,15.09,58.6,-0.1560,0.5098,1.4409
4319004,39.799777,-86.238378,15.09,58.6,0.0920,0.2026,0.2753
4319504,39.799806,-86.238310,14.74,62.3,0.1413,0.4349,2.0052
4320004,39.799806,-86.238310,14.74,62.3,0.2577,0.4061,1.0907
4320504,39.799833,-86.238243,14.34,63.0,0.0447,0.0969,0.3212
4321004,39.799833,-86.238243,14.34,63.0,0.1765,0.2692,0.5730
4321504,39.799859,-86.238176,14.00,62.6,0.2087,0.1067,0.6626
4322004,39.799859,-86.238176,14.00,62.6,0.4312,0.3822,1.1910
4322504,39.799886,-86.238112,13.74,62.1,0.4881,0.1276,0.9145
4323004,39.799886,-86.238112,13.74,62.1,0.1023,0.3327,0.6780
4323504,39.799912,-86.238049,13.46,60.9,-0.0007,0.3370,0.9926
4324004,39.799912,-86.238049,13.46,60.9,-0.1198,0.3668,1.0919
4324504,39.799940,-86.237989,13.27,58.4,-0.2087,0.4166,0.7400
4325004,39.799940,-86.237989,13.27,58.4,0.4264,0.3583,1.5483
4325504,39.799971,-86.237933,13.05,54.4,0.3068,0.2028,0.9884
4326004,39.799971,-86.237933,13.05,54.4,0.0503,0.9457,1.7318
4326504,39.800005,-86.237881,12.88,48.4,0.2045,0.2650,1.0097
4327004,39.800005,-86.237881,12.88,48.4,0.0657,0.4439,1.6371
4327504,39.800042,-86.237835,12.72,42.2,-0.0039,0.2960,1.2381
4328004,39.800042,-86.237835,12.72,42.2,-0.1352,0.3183,0.9035
4328504,39.800083,-86.237794,12.58,36.2,0.0747,0.2050,0.7829
4329004,39.800083,-86.237794,12.58,36.2,0.2031,0.1286,1.1788
4329504,39.800125,-86.237759,12.41,30.8,-0.3900,0.7732,1.3696
4330004,39.800125,-86.237759,12.41,30.8,0.0012,0.2282,0.9235
4330504,39.800169,-86.237727,12.32,29.8,0.1765,0.3102,0.7629
4331004,39.800169,-86.237727,12.32,29.8,-0.0439,0.2514,0.9313
4331504,39.800212,-86.237695,12.30,29.4,0.1196,0.2672,0.7803
4332004,39.800212,-86.237695,12.30,29.4,0.0691,0.3363,0.8125
4332504,39.800256,-86.237664,12.34,29.5,0.2416,0.2875,1.0638
4333004,39.800256,-86.237664,12.34,29.5,0.0100,0.3168,1.1998
4333504,39.800302,-86.237630,13.34,30.0,0.1516,0.0776,0.7829
4334004,39.800302,-86.237630,13.34,30.0,0.2118,0.1042,0.4103
4334504,39.800352,-86.237592,14.83,30.7,-0.0349,0.4561,0.8835
4335004,39.800352,-86.237592,14.83,30.7,0.3246,-0.0588,0.5945
4335504,39.800407,-86.237549,16.36,31.1,0.1877,-0.1528,0.7268
4336004,39.800407,-86.237549,16.36,31.1,1.1358,0.4937,0.7314
4336504,39.800467,-86.237502,17.94,31.5,0.2226,0.5176,0.8078
4337004,39.800467,-86.237502,17.94,31.5,0.0210,0.6780,2.2907
4337504,39.800531,-86.237448,19.55,33.3,1.4617,-0.1213,0.3700
